style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,yt-core-attributed-string,style-scope 2,,,,
,https://www.youtube.com/@vlogerytseriesch671,@vlogerytseriesch671,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugx6PxCcwWGcCg3RSZ94AaABAg,Kalau aku suka rasah tuku  alias gratis,,,,,
,https://www.youtube.com/@yenielpi978,@yenielpi978,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzsztURVZLXYua9KcR4AaABAg&pp=0gcJCSMANpG00pGi,Saya paling suka dengan dodol garut  namun mohon maap mau nanya kertas yang di pakai untuk membungkus dofol garut  itu kertas apa ya nama nya terus beli di mana,,,,,
https://yt3.ggpht.com/g1eCgzESgCjH-rsnrdF15MermMAIEZyKh46YOns7JyHGxqvwtBv0TCv2UXC1wF2hJ0u3Aw9Upg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@suriyadisuri5265,@suriyadisuri5265,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugxlkdn3Seb1f7BVUX54AaABAg,Bida ya sama duduk Kandangan dudul Kandangan ada kacang ya gitu salam dari Kalimantan,,,,,
https://yt3.ggpht.com/ytc/AIdro_lWuXD_u6u6ciCZr1I2_YNt5Y5wA0KmUSgh9l1-6OM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mr.kambing8735,@mr.kambing8735,2 tahun yang lalu (diedit),https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgyPHak2Efx6lu8Mp514AaABAg,"saya tau cara membuatnya, gampang sekali cuman capek mengaduknya kalau manual, bahannya 1 karung beras ketan, 30kg gula jawa/gula aren, ama santan kelapa secukupnya... hampir mirip pembuatan kue wajik..",,,,,
https://yt3.ggpht.com/ytc/AIdro_najrNirkES91uW9O1x7uafNumbXLKuwgH-mLyamJqgfhwuBIDWRZGGBzH6fCNh-gOl0g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@milamila8474,@milamila8474,1 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxBFXqxL3zyY0puCvJ4AaABAg,Dodol kesukaan ku ini. Aku suka yang original,,,,,
https://yt3.ggpht.com/ytc/AIdro_l5JhwD4a0Cak4_UnYGYCWXFFRIFmFBsr3hmt705J1LiQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mpoerot8013,@mpoerot8013,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugx7WWS32v0eVzwRhSZ4AaABAg,aje gila ini kondangan disuguhin dodol udah kaya makan nasi,,,,,
https://yt3.ggpht.com/o8tE-00HVdRnKXKYVwBjVmPiVPV1czdYB6a0AcY1SAL3Xzx3riAznMwwm8wj3P5T_zXeK4CoAxY=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@a.rThriftingBali,@a.rThriftingBali,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzI1nz_F-ysOtl9Q_x4AaABAg,Wah enak banget nih. Favorit.,,,,,
https://yt3.ggpht.com/ytc/AIdro_mnHqUY0FTKsamoZjH0P9tQoBWlZXzGsND_80ZbUCQumHxnzproI3u1-WllQUnlU-r34g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@jenajena6949,@jenajena6949,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxIauxvJWR1U-Qn4oF4AaABAg,Dari dulu sampai sekarang masih suka dodol Garut,,,,,
https://yt3.ggpht.com/ytc/AIdro_mLKWuu9-ebNQnRMqDDCj1967nBcdeb9iV4ZBZTlqUbs4U=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@suhend982,@suhend982,1 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgwC4J-Yj-a8mBOXKNl4AaABAg,"Ah ayenamah jadi kurang enak dodol na , bau gajih domba ,",,,,,
https://yt3.ggpht.com/ytc/AIdro_mwvKzk9DMZaTXbP0yR1-25yHUsAT-9-hM0lkl7MYFvGi4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@mimimiranda8400,@mimimiranda8400,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugyj-iISB17MmeReQ9Z4AaABAg,Mantap,1,,,,
https://yt3.ggpht.com/ytc/AIdro_ndtGCqv8GkxVkOUgUUrgxMJ79NmTAJGhdSHUUM4AH2_DjjKes=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Sulthan-lt4zk,@Sulthan-lt4zk,6 bulan yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzGCcmrimbYeLUdKEh4AaABAg,Pants rsanya manis asin ternya dari keringt telpk tangn yg membikny tidk pakai sarung tangn,,,,,
https://yt3.ggpht.com/ytc/AIdro_loh47UJiT7YDW32x4k-fQEciqwmyKiws9QWKNI2p_QXQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@muhamadadlyhaikal4769,@muhamadadlyhaikal4769,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgyhqSqf4FgnimtenRB4AaABAg,Aku suka DODOLL YG SUKA LIKE,6,,,,
https://yt3.ggpht.com/9Pal0WpRLOT2bn0HwPpw8GUA6cDhnJKupnPTnRN68x4bDQ6asXR7ZGdefIIgLGtpghciIlQ0LyE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@WAPRES_GIRL_BAN_MAKZULKAN,@WAPRES_GIRL_BAN_MAKZULKAN,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxpTljhZjbrNb9dWSJ4AaABAg&pp=0gcJCSMANpG00pGi,Dodol Garut adalah dodol terbaik di dunia.,,,,,
https://yt3.ggpht.com/OyuXSGTRaaGi6UrROh0YRYFBHIyGKu_Hb0VHlPVEelA7wdc6Uj-j1ycMVJySQnska72en99y=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@jonathantampubolon6701,@jonathantampubolon6701,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgwY3Ct4SV9DcnA0G5Z4AaABAg,Pe modal nya berapa,2,,,,
https://yt3.ggpht.com/orQOVYJ-MBlZNLgJ07QLW_XTihDcfNMtkyjrSi3rgiohcNiwL2EzoYrzy2fGe_L7nTbOCRfLuBw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@vlogerytseriesch671,@vlogerytseriesch671,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugx6PxCcwWGcCg3RSZ94AaABAg,Kalau aku suka rasah tuku  alias gratis,,,,,
https://yt3.ggpht.com/ytc/AIdro_lgsxTqWR4D57OIGdrrGUBLG_boEP-fXwICO2n_JCUOnT6p4GWElgZ5CPwizcabKBmDvw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@yenielpi978,@yenielpi978,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzsztURVZLXYua9KcR4AaABAg&pp=0gcJCSMANpG00pGi,Saya paling suka dengan dodol garut  namun mohon maap mau nanya kertas yang di pakai untuk membungkus dofol garut  itu kertas apa ya nama nya terus beli di mana,,,,,
https://yt3.ggpht.com/J_Khy2NtUFT7uKadqMXfVZEOFcBF1_AuPypNgIAVDFtfuXFzBkCLO0MTyng7eda2lpiCqMVmWQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ruslan6742,@ruslan6742,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugy0IV1GtBZ0SLalqxV4AaABAg,Knapa di kampunggku go ada yg bikin dodol ya cukup dari warung ajah aku ingin pulang ingin makan dodol yg sangat enak dngann puas,,,,,
https://yt3.ggpht.com/ytc/AIdro_mk9g5ImuvJx-5Q4qORxGFjvURfXNyBbZfiu8Uj4BE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@barabiri2364,@barabiri2364,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgyX1_O36C-LluZMNDt4AaABAg,Garut slur,,,,,
https://yt3.ggpht.com/ytc/AIdro_lCz-5s9xX2KhaXt-SgRQrSh7xSIu9Mi5iKddZZLTjvY5aH0-HZod53kfuRV4K-zm-cvg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@teamzoom6734,@teamzoom6734,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugwz3lQusJV7Ipu0xbJ4AaABAg,Saya suka dodol garut,1,,,,
https://yt3.ggpht.com/ytc/AIdro_lX317d8Qo_S8mnLzPH4PyfogSGdXL9n051cbz1BLqEhA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@brickfilmstopmotion1515,@brickfilmstopmotion1515,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugwa46cTVkLIWnn6U_B4AaABAg,Dah lama gak makan,,,,,
https://yt3.ggpht.com/pg5g-a78Tcq6RhHZ4Zm7J2Whip_xGv99Bq-qcaOPPiDNTnZMJStMz5HZV1RidosseUL6EPomOQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Yokbersamakitabisa,@Yokbersamakitabisa,5 tahun yang lalu (diedit),https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgyOXiZWsLStRZfmqPZ4AaABAg,"Yummy,bagi satu",1,,,,
https://yt3.ggpht.com/ytc/AIdro_lQe_GWFmguOw9vdfOlMqaKAkA-rxhx60nEKT7rF2b-5wE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@getscyclery3113,@getscyclery3113,8 bulan yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzsCl6Zz8RYfrjqphl4AaABAg,sebaik nya di bungkus plastik semua...kalo yg di bungkus kertas susah banget ngupasnya karena kertas lengket sama dodol nya..,,,,,
https://yt3.ggpht.com/ytc/AIdro_lJta6UmsFwe30EEcIwjgFu4Z_KTHWON9WTz-7gxDVoWQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ahmadnurhidayat4637,@ahmadnurhidayat4637,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugx_ZHMMeOSJBS-P-UF4AaABAg,Sayang sekali nampan nya dr plastik kenapa gak pesan Nampan Kayu di Pabrik Mebel,,,,,
https://yt3.ggpht.com/ytc/AIdro_nmtsXDHjV3vsi3WJxNLeR6_m62bNa4V324lnRtnFy0u-rpS5RDcRIx863T-hajBZ4JOA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Asror-m6j,@Asror-m6j,3 bulan yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugym4dJW32AFBcDXUXJ4AaABAg,"Dodol Garut kalo sudah masuk ke pabrik Uda gak alami jadi ga Enak, Uda banyak di yang di kurangi resepnya..",,,,,
,https://www.youtube.com/@muazmohammad4581,@muazmohammad4581,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzPJXiOs334viN2t514AaABAg,Pembuatan dodol ade pantang larang ke,,,,,
,https://www.youtube.com/@topanalie8916,@topanalie8916,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzP0uHwDw6KQR2aYr94AaABAg,"gimana caranya untuk di jual lagi ,,kasih info donk",,,,,
,https://www.youtube.com/@cimuluscirahayu7794,@cimuluscirahayu7794,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxHLjdlrRue8dFfeZ14AaABAg,Enak dodol tenjo,,,,,
,https://www.youtube.com/@ainyqurrota,@ainyqurrota,6 bulan yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzpIQEU8kTUl5TrJB94AaABAg,Kog bisa awet tahan lamaaa yah !!?? Aq buat belum seminggu udah bau,,,,,
,https://www.youtube.com/@nadafadhilahrahman2593,@nadafadhilahrahman2593,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgwM_yGBArITETvkqDp4AaABAg,Dodol nya enak ya,,,,,
,https://www.youtube.com/@yuangita1477,@yuangita1477,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugz49KQoKg7j_LhkV7F4AaABAg,Dodol doyan,2,,,,
,https://www.youtube.com/@komangayu1279,@komangayu1279,5 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzY5q2JgZAae72xYcx4AaABAg,MN RESEPNYA,,,,,
,https://www.youtube.com/@creator_5462,@creator_5462,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugzt9Q4LRbgIGwUsHJl4AaABAg,dodol gasrut luar kering dalamnya basah pasti enak,1,,,,
,https://www.youtube.com/@Anna-jl6nn,@Anna-jl6nn,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgwH6OLFKMartOnCWfR4AaABAg,Bahannya apa saja ka?,,,,,
,https://www.youtube.com/@mbakemi4186,@mbakemi4186,3 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=Ugyh3dxK4X69ZfpjzXB4AaABAg,No wa'y produksi tangan pertamakan. Sy pesan banyak buat jual lg,,,,,
,https://www.youtube.com/@solehbandung5974,@solehbandung5974,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgxhZv1dykhr4lXMiZx4AaABAg,Rasa wijen paling ngeunah,,,,,
,https://www.youtube.com/@cuteanimals2536,@cuteanimals2536,4 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgyfONU39Ju9MOv1sRB4AaABAg,Gilak,,,,,
https://yt3.ggpht.com/ytc/AIdro_ndufZtUuuKHa0QTNBguHk_gp5zGgc3xjgDf4W5qb1-fWc=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@muazmohammad4581,@muazmohammad4581,2 tahun yang lalu,https://www.youtube.com/watch?v=1CVGZ_Husf8&lc=UgzPJXiOs334viN2t514AaABAg,Pembuatan dodol ade pantang larang ke,,,,,
