username,comment,date,platform
https://www.facebook.com/yenni.indahsari?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzEyODEzNTc5MjI1NTgyNTM%3D&__tn__=R,Ya allah enak nya coklat itu,1 balasan,facebook
https://www.facebook.com/neng.sriyuliani.5?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzI2NzI1OTE2NjI5MDUyMDA%3D&__tn__=R,"Aduh,,,ngiler bngt,,sumpah,,",1 balasan,facebook
https://www.facebook.com/nyaik.prihatini?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzEwNDg3OTE4OTMwODgyMzc%3D&__tn__=R,Selamat siang,1 balasan,facebook
https://www.facebook.com/indah.indh.3?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzM0MzgyNjk4ODQ3Mzk1Nw%3D%3D&__tn__=R,Wowww ngiler. Favorit bgt coklat niiii,2 Balasan,facebook
https://www.facebook.com/sudarni.arni.102?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzE0MTI1NDYyMzYzMjgwMjM%3D&__tn__=R,Mau donk coklatnya..,1 balasan,facebook
https://www.facebook.com/rita.pratiwi.129?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzkwNzY5NzQzNDA4ODEwMg%3D%3D&__tn__=R,Borong semua coklatnya bun,1 balasan,facebook
https://www.facebook.com/almirazl?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzE4NDIwMDM2Mjk1OTAwNjY%3D&__tn__=R,Mantap kak… bingung kalo aku mau beli yg mana psti enak semua,1 balasan,facebook
https://www.facebook.com/lina.merawati.3?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzY4NTU1MjI0Njk1ODkxMQ%3D%3D&__tn__=R,Enak bnget itu ka,1 balasan,facebook
https://www.facebook.com/ochiramzela?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzM4NzE0Mzc2NzMxNTU1Mw%3D%3D&__tn__=R,Mantap,1 balasan,facebook
https://www.facebook.com/uning.dian?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzkwNDY1NjQzMTI0MjczOA%3D%3D&__tn__=R,Nitip satu bun,1 balasan,facebook
https://www.facebook.com/profile.php?id=100089917591776&comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzQwMDI4MTc1MjU3MjU2NA%3D%3D&__tn__=R,Mantulitaa,1 balasan,facebook
https://www.facebook.com/SrizalT?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzE3NDY1ODU0OTI1MDQ5OTM%3D&__tn__=R,Enaknya,1 balasan,facebook
https://www.facebook.com/nursyam.ahmad?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzM3OTY0MDI1ODA1MjI1OA%3D%3D&__tn__=R,Jadi nngiler ini mah,1 balasan,facebook
https://www.facebook.com/putra.djinjurichi?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzIzNDIyMjg1MTkzMDY0MDY%3D&__tn__=R,Heeemmmm.nyummmmmiii,1 balasan,facebook
https://www.facebook.com/gangga.dewi.31542?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzEyMzY0ODQ1ODcyNzI2MDE%3D&__tn__=R,Wahhhh mau coklatnya,1 balasan,facebook
https://www.facebook.com/IpeyHendar?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzY3MTY2MDQ2NDg5NDk2MA%3D%3D&__tn__=R,iya emang enak bangett itu ka,1 balasan,facebook
https://www.facebook.com/profile.php?id=61553787764720&comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzkwMTQzNjMzMTY5NjY5NA%3D%3D&__tn__=R,Assalamu'alaikum,1 balasan,facebook
https://www.facebook.com/imanuel.taneo.3?comment_id=Y29tbWVudDoyMjg1OTMzODc4MjY2OTkwXzkwMTMzNDk2MTMwMTUwMg%3D%3D&__tn__=R,Salam kenal bunda saling support ya jgn lupa mampir ke beranda sy bunda,1 balasan,facebook
