username,comment,date,platform
7 tahun yang lalu,Ahhhhh.... Jadi Baper liat kak nelsol jomblo jadi kasihan.,@BTSARMY-cx3ce,youtube
6 tahun yang lalu,Siapa yg disini jomblo :(:(:(,@satriavicoc.3146,youtube
7 tahun yang lalu,Bang buat build battle dong bareng 4brother,@skybluex11,youtube
7 tahun yang lalu,bang nelsoon gw rasa kalo vlog dirumah kayak bang erpan tepuk tangan nya,@alurbiasa1403,youtube
5 tahun yang lalu,": mungkin coklat ini menunjukan bahwa kita harus muf on
Aku:emang bang BEACONCRAEM udah pernah pacaran ya",@elsanih9706,youtube
4 tahun yang lalu,kak nelson lucu lucu banget,@alekharalekhar8959,youtube
7 tahun yang lalu (diedit),"JoJoBa
adalah jomblo2 bahagia 
yg sebenernya tidak bahagia
dan sok cool aja hidupnya kayak gk ada masalah tapi di balik itu muehehehe",@dzakyfwp3256,youtube
7 tahun yang lalu,selamat malming bang jojoba. semoga gak jomblo lagi biar abang gak jadi om om genit yang muncul dimalam minggu,@skouskies,youtube
7 tahun yang lalu,Gw jadi pingin coklat :v*,@sugengbudiyanto5333,youtube
3 tahun yang lalu,Nostalgia,@JAGOANGS,youtube
7 tahun yang lalu,Bang itu yang ngerekam cewek ya siapa bang plies jawab dong bang iya ga guys,@hasanbrb7370,youtube
7 tahun yang lalu,Siapa ngiler coy ama coklat ini,@kartonovivo4817,youtube
7 tahun yang lalu,Bang? Knp coklat? Gatau penderitaan cwe lg diet kah? tar ku jd gendut ku salahin kamu yha xD  *jk :v,@cixie_9123,youtube
5 tahun yang lalu,Nel req mukbang coklat 100% kakao coklat monggo,@Akellelelelelellelell,youtube
7 tahun yang lalu,Coklat anti miskin atau tambah miskin ya??? Soalnya kalo beli jadi tambah miskin,@GAMECHANNEL-ll4fy,youtube
6 tahun yang lalu,Itu Coklat Fav. Ku,@repacakep7903,youtube
7 tahun yang lalu,BANG ITU SIAPA,@widi.hartanto1282,youtube
5 tahun yang lalu,Ada yg nyadar gk suara orang yg vidio in bang nelson kyk suara kak mutia safira,@jekyjeni2706,youtube
7 tahun yang lalu,Kak di joogja. Juga ada coklat itu,@afongmana7654,youtube
