username,comment,date,platform
.,enak apa kak,7/27/2021,tiktok
sukakmu,makan dissrt,7/27/2021,tiktok
michelle0. natasya Kristian,org garut hadir😅,7/27/2021,tiktok
V,suaranya siapa si ini😭😭😭bikin sakit kepala,7/27/2021,tiktok
˙ 𓏲 ୨ anastt ୧ . ⊹,udah pernah ke tempatnya ga online,9/2/2021,tiktok
junjun,"Unboxing
cokIat jaduI",8/10/2021,tiktok
[] ;),bang coba beli jajan nan SD,10/13/2021,tiktok
ʕ – _ – ʔNeysaʕ – _ – ʔ,kak coba ke indomaret bli jajan,7/29/2021,tiktok
resi,coklat tos di mana ko kalo tidak salah jika,7/27/2021,tiktok
si calya🤪🙌,kakak 24 makan. warna. hijau,7/27/2021,tiktok
🌷,gw yg orang Garut:B aja tiap hari makan😑,11/28/2022,tiktok
— säā imupp ˙✧,wih rame bgt😳tapi aku bikin tik tok ga rame malah di katain GJ🥺,7/27/2021,tiktok
isopeed real,halo masa lalu,10/13/2024,tiktok
k,Fatur pa ghosting,8/13/2021,tiktok
i,hmmm,7/27/2021,tiktok
𝑆𝑒𝑟𝑒𝑛𝑒𝑠𝑠𝑎𝑎,makan cokelat yang gambarnya ada ayam,7/27/2021,tiktok
Guinevere :D,soundnya nyambung banget😍💘,8/9/2021,tiktok
Byan_prject,nyolong sound mlu lu bang,9/1/2021,tiktok
Luluu,aku beli di bandung bang 😁,9/1/2021,tiktok
kembar_seiras_2,gak nyambung bngt sound nya😏,7/27/2021,tiktok
bngaa,coklat jadul mah yang coklat sukaku bener ga sih tpi coklat bubuk,7/27/2021,tiktok
ratu_online,garut datang,7/27/2021,tiktok
27,orang garut yeuhhhhhh,8/11/2021,tiktok
💐👊😻💕piaa👊😻💕💐,"@,v🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🧟🙅",7/27/2021,tiktok
Najma Azura719,aku kan orang Garut ka....😌,7/28/2021,tiktok
ピピト🦩,spil tokonya cepat,7/27/2021,tiktok
Zafira,eh itu chocodot aku suka beli terus aga jauh dari rumah ku,7/26/2021,tiktok
R&B kandang,Aku pernah liat itu di res area mau beli tapi ga jadi,7/27/2021,tiktok
sl,orng Garut hadir bg😅,8/1/2021,tiktok
Scorpions 🦂,24 jam makan seblak 😂,7/27/2021,tiktok
zalfa 🐣,kk orang Sukabumi ya,7/27/2021,tiktok
Cece✨🧚,kak 24 makan minaum warna 🌈 ini🌈,7/27/2021,tiktok
farid2009,kak 24 jam makan dodol garut soalnya aku orang gatut😅,7/27/2021,tiktok
zaa sangat sayang rui-✧,gw pernah beli jir pas ke Pangandaran kalo gak salah ada yg rasa pedes,7/28/2021,tiktok
meilisa_05,🧡🧡💛🔵🔵🔵🧡🧡🧡e🔵,7/29/2021,tiktok
aku juaaa,iya chocodot enak emang khas garut 😂😂,7/27/2021,tiktok
ryan,huhhh panasss😂,7/28/2021,tiktok
pep's,enek ga si bang??,8/10/2021,tiktok
fedroginting928,tlandem,7/29/2021,tiktok
˚୨୧⋆,LG nyindir juy putri ya kk😳,7/26/2021,tiktok
z,coklat garut itu aku pernah,7/26/2021,tiktok
junjun,Nextnya ma?,8/10/2021,tiktok
𝘩𝘢𝘯𝘨𝘦𝘵𝘰𝘰𝘴𝘵𝘳𝘦𝘴,saya satpol,7/26/2021,tiktok
pep3h,Garut hadir,7/26/2021,tiktok
ᥴһᥱrrᥡ⍴іᥱᥱ𐙚˚˖,halo aku dari masa depan,6/30/2024,tiktok
Indra Saputra7815,bang coba makan chokalt cheww eez,8/1/2021,tiktok
hilya,Garut hadir😌,7/28/2021,tiktok
Rachel 🧚🏻‍♀️,UNBOXSING CHIKI JADUL/JAMAN DULU,7/28/2021,tiktok
uwu,tu😏,9/1/2021,tiktok
Elsa frozen 2🗿,aku orang garut kaks,7/28/2021,tiktok
ᝰ.ᐟ,kak beli cokelat nya dimana?kalo boleh tau,8/11/2021,tiktok
Sarah Adelia,ka itu beli dimana,7/27/2021,tiktok
Enik Hidayati,aku makan permen 🍬🍬🍬🍬🍬🍬🍬🍬🍬,7/27/2021,tiktok
༄ʳᵍ♛ LEXXA ♛™༆,dodol garut juga enak loh,7/27/2021,tiktok
laelabila,jadi mau ke garut abis ppkm kegarut lah biar bisa milih😂,7/26/2021,tiktok
(sgshishsvsjsjs),gak nyabung😌,7/26/2021,tiktok
farah annisa,aku orang garut,7/29/2021,tiktok
albiganteng401,ii,7/26/2021,tiktok
raasukamatcha🍵,kak coba makan jajan cinta,7/26/2021,tiktok
𝓻𝓱𝓶𝓪,KA 24 jam makan bareng mamah nya,7/26/2021,tiktok
iiiii,50 rb tau,7/26/2021,tiktok
nabilaajahlah,mimimi iski,7/27/2021,tiktok
zaa,itu halal ka,7/29/2021,tiktok
fedroginting928,ktl kau lah,7/29/2021,tiktok
Nayyira˚ GAMESOFT,beli Toppoki,7/26/2021,tiktok
fadzzz ×͜×.,mari kita cobaa😳😳,7/28/2021,tiktok
vic_@,setiap kali gw nonton vidionya dia yg komen dia sendiri😂,8/4/2021,tiktok
Folow dong kaks,makan seblak 3 porsi ka,7/26/2021,tiktok
Claudia holy masengi kls 6d,"papih aku aku beli coklat jepang ,korea,cina,inggris",7/26/2021,tiktok
TATING 🔥,kecubung😂😂😂😂😂😂😂😂😂,7/26/2021,tiktok
EvaNZz_.,bang 24 jam makan mei ayam,7/26/2021,tiktok
Irfan naim,indo punya tak jadi lah,7/26/2021,tiktok
Call me uin ✨,aku dari Garut 😳,7/29/2021,tiktok
Muhamad Mugni,okelah coklat nya enak pasti,7/29/2021,tiktok
Gojo• Satoru 👒,gak nyambung lagu nya ihhhhhh 😌,7/27/2021,tiktok
P,23 jam makan yang manis manis,8/9/2021,tiktok
Call me zah,"itu kan coklatnya ada di kampung aku,aku sering beli kalo pulkam
jualnya sering di pinggir jalan kayak di warung dodol😬😁",7/27/2021,tiktok
kembar_official,[wow],7/26/2021,tiktok
saa𐙚,1+,7/26/2021,tiktok
user641747375317,kak makan mie campur bon cabe campur ayam goreng[thinking][thinking],7/26/2021,tiktok
fatihah,kakak Cimory squishy pakai Oreo wenak,7/26/2021,tiktok
niaa ¡!,di jemur kak 😂,7/26/2021,tiktok
🐮sapi🤜🏻,aku udah beli,7/26/2021,tiktok
nadilaanindya0,KK Coba beli es durian,7/26/2021,tiktok
nurllia,beli bola bola firal doka,7/26/2021,tiktok
queen,coklat di lelehin terus campur nasi enak gk ya,7/26/2021,tiktok
Pityyy,kaka kalo di hitung hitung kayak nya 10000 jt kak jajan kk,8/25/2021,tiktok
"cewe bule, bulepotan",semangat ya kk😊,7/26/2021,tiktok
pecel kambing,gk sukaa coklat nyimak🙂,8/2/2021,tiktok
esa,kak coba makan sambel 10,7/27/2021,tiktok
𝙰𝚔𝚞𝚗 𝚑𝚒𝚕𝚊𝚗𝚐,"Mana gw
༼
༼
༼",7/29/2021,tiktok
fedroginting928,coklat si bagena pe pamer ken mu nari telinga,7/29/2021,tiktok
miro11,makan mie samyanh 🥰,7/26/2021,tiktok
STAY HALAL,chocodot enak fiks😤😤,7/26/2021,tiktok
- 诺 🕸️ ʾ˖ ◴ ་ 𝑪𝒆𝒍𝒔𝒊. ✿☠️,berapa😅😂,7/26/2021,tiktok
Vita🌼,"aku garut,tapi perasaan gak ada coklat kayak gitu😅",7/26/2021,tiktok
g e m o y     t i k t o k 🙈😚,kak versi mie mie yg jadul plis🥺,7/26/2021,tiktok
yakin deck?,bilang aja kalo mau pamer,7/26/2021,tiktok
punya orang,ka makan pedes boncabe nya 10pcs,7/26/2021,tiktok
piyyonaa,p nitip kaki🥰😳,7/26/2021,tiktok
🎀Yas🎀,bang 24 jam makan seblak plis😁,7/26/2021,tiktok
..,p,7/26/2021,tiktok
Kianieryz_21,ngaduk saus keju,8/13/2021,tiktok
Azzura,itu kan bukannya ad dibogor ya.ditoko kue lapis bogor ya kemaren aku liat ad itu,7/27/2021,tiktok
Ducky,Siapa yang nyuruh😂😂😂😂,7/26/2021,tiktok
@rezz.x WIBUSOFT,mainan jadul bang,7/26/2021,tiktok
DitaSn🐣,Orang Garutt Hadir Nih😁,7/28/2021,tiktok
kaka,woi apa cuman gua yang gk suka coklat💔,8/10/2021,tiktok
Dhiya Alisha Najwa,adik aku orang garut,7/29/2021,tiktok
t,prnh nyoba di Malioboro atau jogja ye.. buat oleh2 akaowkaowk,7/26/2021,tiktok
ƁƦˢ₂•Villisca,enak si chokodot,7/26/2021,tiktok
chelsea 🥰,bang plis buat Asmar es krim yang banyak🥺🥺🥺,7/31/2021,tiktok
